№,Символ,Кільк.,Імовірність,%
196,ДЗ,24,0.00048,0.04766
197,ДИ,151,0.003,0.29988
198,ДЙ,1,2.0e-05,0.00199
199,ДК,42,0.00083,0.08341
200,ДЛ,16,0.00032,0.03178
201,ДМ,19,0.00038,0.03773
202,ДН,138,0.00274,0.27406
203,ДО,324,0.00643,0.64344
204,ДП,27,0.00054,0.05362
205,ДР,40,0.00079,0.07944
206,ДС,34,0.00068,0.06752
207,ДТ,20,0.0004,0.03972
208,ДУ,139,0.00276,0.27605
209,ДФ,1,2.0e-05,0.00199
210,ДХ,3,6.0e-05,0.00596
211,ДЦ,24,0.00048,0.04766
212,ДЧ,16,0.00032,0.03178
213,ДШ,5,0.0001,0.00993
214,ДЩ,1,2.0e-05,0.00199
215,ДЬ,12,0.00024,0.02383
216,ДЮ,3,6.0e-05,0.00596
217,ДЯ,14,0.00028,0.0278
218,ЕЄ,3,6.0e-05,0.00596
219,ЕІ,11,0.00022,0.02185
220,ЕЇ,3,6.0e-05,0.00596
221,ЕА,25,0.0005,0.04965
222,ЕБ,97,0.00193,0.19264
223,ЕВ,211,0.00419,0.41903
224,ЕГ,138,0.00274,0.27406
225,ЕД,124,0.00246,0.24626
226,ЕЖ,57,0.00113,0.1132
227,ЕЗ,176,0.0035,0.34953
228,ЕЙ,62,0.00123,0.12313
229,ЕК,58,0.00115,0.11518
230,ЕЛ,97,0.00193,0.19264
231,ЕМ,123,0.00244,0.24427
232,ЕН,415,0.00824,0.82416
233,ЕО,42,0.00083,0.08341
234,ЕП,207,0.00411,0.41109
235,ЕР,538,0.01068,1.06844
236,ЕС,153,0.00304,0.30385
237,ЕТ,126,0.0025,0.25023
238,ЕУ,5,0.0001,0.00993
239,ЕХ,11,0.00022,0.02185
240,ЕЦ,26,0.00052,0.05163
241,ЕЧ,39,0.00077,0.07745
242,ЕШ,35,0.0007,0.06951
243,ЕЩ,26,0.00052,0.05163
244,ЕЮ,4,8.0e-05,0.00794
245,ЕЯ,34,0.00068,0.06752
246,ЕҐ,1,2.0e-05,0.00199
247,ЖІ,12,0.00024,0.02383
248,ЖА,39,0.00077,0.07745
249,ЖБ,11,0.00022,0.02185
250,ЖВ,12,0.00024,0.02383
251,ЖГ,3,6.0e-05,0.00596
252,ЖД,9,0.00018,0.01787
253,ЖЕ,214,0.00425,0.42499
254,ЖЖ,3,6.0e-05,0.00596
255,ЖЗ,7,0.00014,0.0139
256,ЖИ,59,0.00117,0.11717
257,ЖЙ,1,2.0e-05,0.00199
258,ЖК,20,0.0004,0.03972
259,ЖЛ,14,0.00028,0.0278
260,ЖМ,11,0.00022,0.02185
261,ЖН,48,0.00095,0.09533
262,ЖО,12,0.00024,0.02383
263,ЖП,13,0.00026,0.02582
264,ЖР,5,0.0001,0.00993
265,ЖС,3,6.0e-05,0.00596
266,ЖТ,12,0.00024,0.02383
267,ЖУ,186,0.00369,0.36938
268,ЖЧ,20,0.0004,0.03972
269,ЖШ,1,2.0e-05,0.00199
270,ЖЯ,9,0.00018,0.01787
271,ЗЄ,2,4.0e-05,0.00397
272,ЗІ,58,0.00115,0.11518
273,ЗЇ,2,4.0e-05,0.00397
274,ЗА,321,0.00637,0.63749
275,ЗБ,39,0.00077,0.07745
276,ЗВ,82,0.00163,0.16285
277,ЗГ,36,0.00071,0.07149
278,ЗД,80,0.00159,0.15888
279,ЗЕ,14,0.00028,0.0278
280,ЗЖ,3,6.0e-05,0.00596
281,ЗЗ,3,6.0e-05,0.00596
282,ЗИ,22,0.00044,0.04369
283,ЗК,18,0.00036,0.03575
284,ЗЛ,16,0.00032,0.03178
285,ЗМ,32,0.00064,0.06355
286,ЗН,209,0.00415,0.41506
287,ЗО,92,0.00183,0.18271
288,ЗП,40,0.00079,0.07944
289,ЗР,45,0.00089,0.08937
290,ЗС,3,6.0e-05,0.00596
291,ЗТ,31,0.00062,0.06156
292,ЗУ,64,0.00127,0.1271
293,ЗФ,1,2.0e-05,0.00199
294,ЗХ,2,4.0e-05,0.00397
295,ЗЦ,6,0.00012,0.01192
296,ЗЧ,13,0.00026,0.02582
297,ЗШ,14,0.00028,0.0278
298,ЗЩ,9,0.00018,0.01787
299,ЗЬ,35,0.0007,0.06951
300,ЗЮ,1,2.0e-05,0.00199
301,ЗЯ,39,0.00077,0.07745
302,ИЄ,5,0.0001,0.00993
303,ИІ,35,0.0007,0.06951
304,ИЇ,16,0.00032,0.03178
305,ИА,30,0.0006,0.05958
306,ИБ,62,0.00123,0.12313
307,ИВ,361,0.00717,0.71692
308,ИГ,51,0.00101,0.10128
309,ИД,133,0.00264,0.26413
310,ИЕ,1,2.0e-05,0.00199
311,ИЖ,36,0.00071,0.07149
312,ИЗ,132,0.00262,0.26214
313,ИЙ,239,0.00475,0.47464
314,ИК,121,0.0024,0.2403
315,ИЛ,172,0.00342,0.34158
316,ИМ,214,0.00425,0.42499
317,ИН,295,0.00586,0.58585
318,ИО,35,0.0007,0.06951
319,ИП,143,0.00284,0.28399
320,ИР,91,0.00181,0.18072
321,ИС,288,0.00572,0.57195
322,ИТ,245,0.00487,0.48656
323,ИУ,16,0.00032,0.03178
324,ИФ,29,0.00058,0.05759
325,ИХ,131,0.0026,0.26016
326,ИЦ,43,0.00085,0.0854
327,ИЧ,81,0.00161,0.16086
328,ИШ,59,0.00117,0.11717
329,ИЩ,43,0.00085,0.0854
330,ИЯ,78,0.00155,0.1549
331,ИҐ,1,2.0e-05,0.00199
332,ЙЄ,2,4.0e-05,0.00397
333,ЙІ,12,0.00024,0.02383
334,ЙА,8,0.00016,0.01589
335,ЙБ,29,0.00058,0.05759
336,ЙВ,37,0.00073,0.07348
337,ЙГ,18,0.00036,0.03575
338,ЙД,43,0.00085,0.0854
339,ЙЕ,1,2.0e-05,0.00199
340,ЙЖ,28,0.00056,0.05561
341,ЙЗ,41,0.00081,0.08142
342,ЙЙ,3,6.0e-05,0.00596
343,ЙК,22,0.00044,0.04369
344,ЙЛ,9,0.00018,0.01787
345,ЙМ,44,0.00087,0.08738
346,ЙН,61,0.00121,0.12114
347,ЙО,113,0.00224,0.22441
348,ЙП,48,0.00095,0.09533
349,ЙР,9,0.00018,0.01787
350,ЙС,62,0.00123,0.12313
351,ЙТ,37,0.00073,0.07348
352,ЙУ,15,0.0003,0.02979
353,ЙФ,2,4.0e-05,0.00397
354,ЙХ,5,0.0001,0.00993
355,ЙЦ,6,0.00012,0.01192
356,ЙЧ,17,0.00034,0.03376
357,ЙШ,28,0.00056,0.05561
358,ЙЩ,8,0.00016,0.01589
359,ЙЯ,6,0.00012,0.01192
360,КІ,178,0.00353,0.3535
361,КЇ,2,4.0e-05,0.00397
362,КА,335,0.00665,0.66529
363,КБ,15,0.0003,0.02979
364,КВ,37,0.00073,0.07348
365,КГ,3,6.0e-05,0.00596
366,КД,15,0.0003,0.02979
367,КЕ,28,0.00056,0.05561
368,КЖ,3,6.0e-05,0.00596
369,КЗ,12,0.00024,0.02383
370,КИ,284,0.00564,0.56401
371,КЙ,6,0.00012,0.01192
372,КК,6,0.00012,0.01192
373,КЛ,55,0.00109,0.10923
374,КМ,21,0.00042,0.0417
375,КН,50,0.00099,0.0993
376,КО,378,0.00751,0.75069
377,КП,26,0.00052,0.05163
378,КР,110,0.00218,0.21845
379,КС,28,0.00056,0.05561
380,КТ,20,0.0004,0.03972
381,КУ,175,0.00348,0.34754
382,КФ,1,2.0e-05,0.00199
383,КХ,6,0.00012,0.01192
384,КЦ,8,0.00016,0.01589
385,КЧ,1,2.0e-05,0.00199
386,КШ,3,6.0e-05,0.00596
387,КЩ,23,0.00046,0.04568
388,КЯ,15,0.0003,0.02979
389,ЛІ,195,0.00387,0.38726
390,ЛА,159,0.00316,0.31576
391,ЛЕ,220,0.00437,0.43691
392,ЛЗ,3,6.0e-05,0.00596
393,ЛИ,417,0.00828,0.82814
394,ЛК,11,0.00022,0.02185
395,ЛЛ,17,0.00034,0.03376
396,ЛМ,2,4.0e-05,0.00397
397,ЛН,3,6.0e-05,0.00596
398,ЛО,321,0.00637,0.63749
399,ЛТ,5,0.0001,0.00993
400,ЛУ,60,0.00119,0.11916
401,ЛХ,1,2.0e-05,0.00199
402,ЛЦ,2,4.0e-05,0.00397
403,ЛЬ,164,0.00326,0.32569
404,ЛЮ,69,0.00137,0.13703
405,ЛЯ,143,0.00284,0.28399
406,МІ,191,0.00379,0.37931
407,МЇ,1,2.0e-05,0.00199
408,МА,247,0.00491,0.49053
409,МБ,21,0.00042,0.0417
410,МВ,26,0.00052,0.05163
411,МГ,2,4.0e-05,0.00397
412,МД,26,0.00052,0.05163
413,МЕ,229,0.00455,0.45478
414,МЖ,6,0.00012,0.01192
415,МЗ,19,0.00038,0.03773
416,МИ,189,0.00375,0.37534
417,МЙ,3,6.0e-05,0.00596
418,МК,22,0.00044,0.04369
419,МЛ,21,0.00042,0.0417
420,ММ,10,0.0002,0.01986
421,МН,58,0.00115,0.11518
422,МО,240,0.00477,0.47663
423,МП,29,0.00058,0.05759
424,МР,11,0.00022,0.02185
425,МС,22,0.00044,0.04369
426,МТ,29,0.00058,0.05759
427,МУ,142,0.00282,0.282
428,МХ,4,8.0e-05,0.00794
429,МЦ,9,0.00018,0.01787
430,МЧ,12,0.00024,0.02383
431,МШ,3,6.0e-05,0.00596
432,МЩ,13,0.00026,0.02582
433,МЯ,18,0.00036,0.03575
434,НЄ,4,8.0e-05,0.00794
435,НІ,330,0.00655,0.65536
436,НА,723,0.01436,1.43583
437,НБ,7,0.00014,0.0139
438,НВ,13,0.00026,0.02582
439,НГ,18,0.00036,0.03575
440,НД,18,0.00036,0.03575
441,НЕ,503,0.00999,0.99893
442,НЗ,21,0.00042,0.0417
443,НИ,256,0.00508,0.5084
444,НЙ,1,2.0e-05,0.00199
445,НК,39,0.00077,0.07745
446,НЛ,5,0.0001,0.00993
447,НМ,7,0.00014,0.0139
448,НН,120,0.00238,0.23831
449,НО,335,0.00665,0.66529
450,НП,18,0.00036,0.03575
451,НР,4,8.0e-05,0.00794
452,НС,23,0.00046,0.04568
453,НТ,83,0.00165,0.16483
454,НУ,150,0.00298,0.29789
455,НФ,2,4.0e-05,0.00397
456,НХ,2,4.0e-05,0.00397
457,НЦ,30,0.0006,0.05958
458,НЧ,11,0.00022,0.02185
459,НШ,19,0.00038,0.03773
460,НЩ,6,0.00012,0.01192
461,НЬ,75,0.00149,0.14895
462,НЮ,16,0.00032,0.03178
463,НЯ,103,0.00205,0.20455
464,ОЄ,22,0.00044,0.04369
465,ОІ,13,0.00026,0.02582
466,ОЇ,92,0.00183,0.18271
467,ОА,22,0.00044,0.04369
468,ОБ,312,0.0062,0.61961
469,ОВ,569,0.0113,1.13
470,ОГ,397,0.00788,0.78842
471,ОД,336,0.00667,0.66728
472,ОЕ,3,6.0e-05,0.00596
473,ОЖ,134,0.00266,0.26612
474,ОЗ,249,0.00494,0.4945
475,ОИ,1,2.0e-05,0.00199
476,ОЙ,62,0.00123,0.12313
477,ОК,194,0.00385,0.38527
478,ОЛ,245,0.00487,0.48656
479,ОМ,338,0.00671,0.67125
480,ОН,192,0.00381,0.3813
481,ОО,41,0.00081,0.08142
482,ОП,192,0.00381,0.3813
483,ОР,236,0.00469,0.46868
484,ОС,328,0.00651,0.65139
485,ОТ,272,0.0054,0.54018
486,ОУ,18,0.00036,0.03575
487,ОФ,3,6.0e-05,0.00596
488,ОХ,59,0.00117,0.11717
489,ОЦ,57,0.00113,0.1132
490,ОЧ,154,0.00306,0.30583
491,ОШ,26,0.00052,0.05163
492,ОЩ,53,0.00105,0.10525
493,ОЮ,81,0.00161,0.16086
494,ОЯ,77,0.00153,0.15292
495,ПІ,203,0.00403,0.40315
496,ПА,155,0.00308,0.30782
497,ПВ,2,4.0e-05,0.00397
498,ПЕ,239,0.00475,0.47464
499,ПЗ,1,2.0e-05,0.00199
500,ПИ,103,0.00205,0.20455
501,ПК,7,0.00014,0.0139
502,ПЛ,26,0.00052,0.05163
503,ПМ,1,2.0e-05,0.00199
504,ПН,9,0.00018,0.01787
505,ПО,452,0.00898,0.89764
506,ПП,3,6.0e-05,0.00596
507,ПР,301,0.00598,0.59777
508,ПС,1,2.0e-05,0.00199
509,ПТ,18,0.00036,0.03575
510,ПУ,34,0.00068,0.06752
511,ПФ,1,2.0e-05,0.00199
512,ПХ,3,6.0e-05,0.00596
513,ПЦ,1,2.0e-05,0.00199
514,ПЧ,2,4.0e-05,0.00397
515,ПЯ,20,0.0004,0.03972
516,РІ,154,0.00306,0.30583
517,РА,393,0.0078,0.78047
518,РБ,34,0.00068,0.06752
519,РВ,25,0.0005,0.04965
520,РГ,50,0.00099,0.0993
521,РД,20,0.0004,0.03972
522,РЕ,307,0.0061,0.60968
523,РЖ,6,0.00012,0.01192
524,РЗ,8,0.00016,0.01589
525,РИ,279,0.00554,0.55408
526,РК,29,0.00058,0.05759
527,РЛ,10,0.0002,0.01986
528,РМ,14,0.00028,0.0278
529,РН,69,0.00137,0.13703
530,РО,463,0.00919,0.91949
531,РП,16,0.00032,0.03178
532,РР,3,6.0e-05,0.00596
533,РС,12,0.00024,0.02383
534,РТ,63,0.00125,0.12511
535,РУ,120,0.00238,0.23831
536,РХ,7,0.00014,0.0139
537,РЦ,8,0.00016,0.01589
538,РЧ,5,0.0001,0.00993
539,РШ,38,0.00075,0.07547
540,РЩ,4,8.0e-05,0.00794
541,РЬ,2,4.0e-05,0.00397
542,РЮ,5,0.0001,0.00993
543,РЯ,49,0.00097,0.09731
544,СІ,102,0.00203,0.20257
545,СА,121,0.0024,0.2403
546,СБ,2,4.0e-05,0.00397
547,СВ,75,0.00149,0.14895
548,СГ,1,2.0e-05,0.00199
549,СД,2,4.0e-05,0.00397
550,СЕ,44,0.00087,0.08738
551,СЖ,2,4.0e-05,0.00397
552,СЗ,1,2.0e-05,0.00199
553,СИ,57,0.00113,0.1132
554,СК,164,0.00326,0.32569
555,СЛ,92,0.00183,0.18271
556,СМ,22,0.00044,0.04369
557,СН,66,0.00131,0.13107
558,СО,58,0.00115,0.11518
559,СП,104,0.00207,0.20654
560,СР,3,6.0e-05,0.00596
561,СС,2,4.0e-05,0.00397
562,СТ,401,0.00796,0.79636
563,СУ,54,0.00107,0.10724
564,СХ,28,0.00056,0.05561
565,СЦ,23,0.00046,0.04568
566,СШ,1,2.0e-05,0.00199
567,СЩ,1,2.0e-05,0.00199
568,СЬ,197,0.00391,0.39123
569,СЮ,6,0.00012,0.01192
570,СЯ,307,0.0061,0.60968
571,ТІ,173,0.00344,0.34357
572,ТА,432,0.00858,0.85793
573,ТБ,2,4.0e-05,0.00397
574,ТВ,42,0.00083,0.08341
575,ТД,14,0.00028,0.0278
576,ТЕ,253,0.00502,0.50244
577,ТЖ,16,0.00032,0.03178
578,ТЗ,8,0.00016,0.01589
579,ТИ,454,0.00902,0.90162
580,ТК,40,0.00079,0.07944
581,ТЛ,10,0.0002,0.01986
582,ТМ,5,0.0001,0.00993
583,ТН,34,0.00068,0.06752
584,ТО,385,0.00765,0.76459
585,ТП,5,0.0001,0.00993
586,ТР,167,0.00332,0.33165
587,ТС,16,0.00032,0.03178
588,ТТ,16,0.00032,0.03178
589,ТУ,107,0.00212,0.2125
590,ТФ,7,0.00014,0.0139
591,ТХ,2,4.0e-05,0.00397
592,ТЦ,2,4.0e-05,0.00397
593,ТЧ,1,2.0e-05,0.00199
594,ТШ,2,4.0e-05,0.00397
595,ТЩ,3,6.0e-05,0.00596
596,ТЬ,180,0.00357,0.35747
597,ТЮ,12,0.00024,0.02383
598,ТЯ,40,0.00079,0.07944
599,УЄ,26,0.00052,0.05163
600,УІ,21,0.00042,0.0417
601,УЇ,2,4.0e-05,0.00397
602,УА,22,0.00044,0.04369
603,УБ,27,0.00054,0.05362
604,УВ,255,0.00506,0.50641
605,УГ,26,0.00052,0.05163
606,УД,102,0.00203,0.20257
607,УЖ,67,0.00133,0.13306
608,УЗ,46,0.00091,0.09135
609,УЙ,20,0.0004,0.03972
610,УК,172,0.00342,0.34158
611,УЛ,128,0.00254,0.2542
612,УМ,94,0.00187,0.18668
613,УН,74,0.00147,0.14696
614,УО,17,0.00034,0.03376
615,УП,168,0.00334,0.33364
616,УР,57,0.00113,0.1132
617,УС,148,0.00294,0.29392
618,УТ,135,0.00268,0.2681
619,УУ,3,6.0e-05,0.00596
620,УФ,1,2.0e-05,0.00199
621,УХ,23,0.00046,0.04568
622,УЦ,21,0.00042,0.0417
623,УЧ,46,0.00091,0.09135
624,УШ,20,0.0004,0.03972
625,УЩ,22,0.00044,0.04369
626,УЮ,13,0.00026,0.02582
627,УЯ,34,0.00068,0.06752
628,ФІ,3,6.0e-05,0.00596
629,ФА,5,0.0001,0.00993
630,ФО,11,0.00022,0.02185
631,ФР,24,0.00048,0.04766
632,ФУ,16,0.00032,0.03178
633,ФЯ,1,2.0e-05,0.00199
634,ХІ,32,0.00064,0.06355
635,ХЇ,1,2.0e-05,0.00199
636,ХА,49,0.00097,0.09731
637,ХБ,2,4.0e-05,0.00397
638,ХВ,32,0.00064,0.06355
639,ХГ,6,0.00012,0.01192
640,ХД,8,0.00016,0.01589
641,ХЖ,1,2.0e-05,0.00199
642,ХЗ,19,0.00038,0.03773
643,ХИ,45,0.00089,0.08937
644,ХК,11,0.00022,0.02185
645,ХЛ,20,0.0004,0.03972
646,ХМ,16,0.00032,0.03178
647,ХН,22,0.00044,0.04369
648,ХО,101,0.00201,0.20058
649,ХП,12,0.00024,0.02383
650,ХР,11,0.00022,0.02185
651,ХС,14,0.00028,0.0278
652,ХТ,24,0.00048,0.04766
653,ХУ,29,0.00058,0.05759
654,ХФ,1,2.0e-05,0.00199
655,ХХ,1,2.0e-05,0.00199
656,ХЦ,1,2.0e-05,0.00199
657,ХЧ,3,6.0e-05,0.00596
658,ХШ,1,2.0e-05,0.00199
659,ХЩ,3,6.0e-05,0.00596
660,ХЯ,1,2.0e-05,0.00199
661,ЦІ,90,0.00179,0.17873
662,ЦА,3,6.0e-05,0.00596
663,ЦВ,3,6.0e-05,0.00596
664,ЦЕ,126,0.0025,0.25023
665,ЦИ,19,0.00038,0.03773
666,ЦН,3,6.0e-05,0.00596
667,ЦУ,2,4.0e-05,0.00397
668,ЦЬ,51,0.00101,0.10128
669,ЦЮ,20,0.0004,0.03972
670,ЦЯ,67,0.00133,0.13306
671,ЧІ,35,0.0007,0.06951
672,ЧА,114,0.00226,0.2264
673,ЧВ,5,0.0001,0.00993
674,ЧД,2,4.0e-05,0.00397
675,ЧЕ,156,0.0031,0.30981
676,ЧЗ,1,2.0e-05,0.00199
677,ЧИ,189,0.00375,0.37534
678,ЧК,28,0.00056,0.05561
679,ЧЛ,1,2.0e-05,0.00199
680,ЧН,42,0.00083,0.08341
681,ЧО,75,0.00149,0.14895
682,ЧП,5,0.0001,0.00993
683,ЧС,6,0.00012,0.01192
684,ЧТ,1,2.0e-05,0.00199
685,ЧУ,57,0.00113,0.1132
686,ЧЦ,2,4.0e-05,0.00397
687,ЧЧ,5,0.0001,0.00993
688,ЧЩ,1,2.0e-05,0.00199
689,ЧЯ,6,0.00012,0.01192
690,ШІ,16,0.00032,0.03178
691,ША,25,0.0005,0.04965
692,ШБ,1,2.0e-05,0.00199
693,ШВ,16,0.00032,0.03178
694,ШД,4,8.0e-05,0.00794
695,ШЕ,82,0.00163,0.16285
696,ШЖ,2,4.0e-05,0.00397
697,ШЗ,2,4.0e-05,0.00397
698,ШИ,142,0.00282,0.282
699,ШК,25,0.0005,0.04965
700,ШЛ,21,0.00042,0.0417
701,ШМ,8,0.00016,0.01589
702,ШН,19,0.00038,0.03773
703,ШО,46,0.00091,0.09135
704,ШП,8,0.00016,0.01589
705,ШР,1,2.0e-05,0.00199
706,ШС,6,0.00012,0.01192
707,ШТ,30,0.0006,0.05958
708,ШУ,37,0.00073,0.07348
709,ШХ,1,2.0e-05,0.00199
710,ШЧ,2,4.0e-05,0.00397
711,ШЩ,4,8.0e-05,0.00794
712,ШЯ,4,8.0e-05,0.00794
713,ЩІ,9,0.00018,0.01787
714,ЩА,11,0.00022,0.02185
715,ЩЕ,66,0.00131,0.13107
716,ЩИ,16,0.00032,0.03178
